municipio_id,municipio,latitude,longitude,acidentes,acidentes_mes,d_max
ADRIANOPOLIS 01,ADRIANOPOLIS,-24.8,-49.1,1,0.0432688078798826,160
ADRIANOPOLIS 02,ADRIANOPOLIS,-24.8,-49.0,3,0.0970938373721255,160
ALTO PARAISO 01,ALTO PARAISO,-23.4,-53.8,1,0.0341436122439965,160
ALTO PARANA 01,ALTO PARANA,-23.2,-52.3,17,0.4012812763711291,160
ALTO PARANA 02,ALTO PARANA,-23.1,-52.3,61,1.2490603578439885,80
ANDIRA 01,ANDIRA,-23.1,-50.2,11,0.2258481495207005,160
ANDIRA 02,ANDIRA,-23.0,-50.2,53,1.129314429802857,80
ANTONIO OLINTO 01,ANTONIO OLINTO,-25.9,-50.2,47,0.9623907675191388,160
APUCARANA 01,APUCARANA,-23.6,-51.5,210,4.288503496667714,40
APUCARANA 02,APUCARANA,-23.6,-51.4,255,5.207468531667938,20
APUCARANA 03,APUCARANA,-23.5,-51.5,85,1.7714797669704143,80
ARAPONGAS 01,ARAPONGAS,-23.5,-51.4,179,3.67516534220049,40
ARAPONGAS 02,ARAPONGAS,-23.4,-51.5,1,0.0447313720321227,160
ARAPONGAS 03,ARAPONGAS,-23.4,-51.4,327,6.6778125876682966,20
ARARUNA 01,ARARUNA,-24.0,-52.6,9,0.1921739782408814,160
ARAUCARIA 01,ARAUCARIA,-25.6,-49.5,32,0.6592362871679374,160
ARAUCARIA 02,ARAUCARIA,-25.6,-49.4,302,6.183872591293189,20
BALSA NOVA 01,BALSA NOVA,-25.6,-49.6,24,0.4934252938005208,160
BALSA NOVA 02,BALSA NOVA,-25.5,-49.7,145,2.969077899793088,40
BALSA NOVA 03,BALSA NOVA,-25.5,-49.6,169,3.486311046007984,40
BALSA NOVA 04,BALSA NOVA,-25.4,-49.7,10,0.2587208514693999,160
BANDEIRANTES 01,BANDEIRANTES,-23.1,-50.4,69,1.4147751314787298,80
BANDEIRANTES 02,BANDEIRANTES,-23.1,-50.3,59,1.2598071906902226,80
BARRACAO 01,BARRACAO,-26.3,-53.6,37,0.8093535504440329,160
BARRACAO 02,BARRACAO,-26.3,-53.5,2,0.042437385053978,160
BARRACAO 03,BARRACAO,-26.2,-53.6,33,0.6968164145238758,160
BOCAIUVA DO SUL 01,BOCAIUVA DO SUL,-25.2,-49.1,66,1.3926666634891731,80
BOCAIUVA DO SUL 02,BOCAIUVA DO SUL,-25.1,-49.1,25,0.5129452340194792,160
CALIFORNIA 01,CALIFORNIA,-23.7,-51.4,36,0.7351720280001794,160
CALIFORNIA 02,CALIFORNIA,-23.7,-51.3,52,1.0719845370971244,80
CAMBARA 01,CAMBARA,-23.0,-50.1,45,0.92830767497254,160
CAMBARA 02,CAMBARA,-23.0,-50.0,14,0.2935823509375838,160
CAMBE 01,CAMBE,-23.3,-51.3,228,4.662345858637774,40
CAMPINA GRANDE DO SUL 01,CAMPINA GRANDE DO SUL,-25.3,-49.0,149,3.0489323286408374,40
CAMPINA GRANDE DO SUL 02,CAMPINA GRANDE DO SUL,-25.3,-48.9,80,1.6337156177781766,80
CAMPINA GRANDE DO SUL 03,CAMPINA GRANDE DO SUL,-25.2,-49.0,1,0.026342308834483,160
CAMPINA GRANDE DO SUL 04,CAMPINA GRANDE DO SUL,-25.2,-48.9,354,7.243772109656755,20
CAMPINA GRANDE DO SUL 05,CAMPINA GRANDE DO SUL,-25.2,-48.8,1,0.0256324151968078,160
CAMPINA GRANDE DO SUL 06,CAMPINA GRANDE DO SUL,-25.1,-48.9,40,0.834208742327413,160
CAMPINA GRANDE DO SUL 07,CAMPINA GRANDE DO SUL,-25.1,-48.8,279,5.732197077246373,20
CAMPINA GRANDE DO SUL 08,CAMPINA GRANDE DO SUL,-25.1,-48.7,372,7.6274833175375,20
CAMPINA GRANDE DO SUL 09,CAMPINA GRANDE DO SUL,-25.1,-48.6,165,3.374066081908916,40
CAMPO BONITO 01,CAMPO BONITO,-25.0,-53.0,2,0.0409252661562528,160
CAMPO LARGO 01,CAMPO LARGO,-25.5,-49.5,50,1.0245092037317305,160
CAMPO LARGO 02,CAMPO LARGO,-25.4,-49.6,55,1.1369099439322314,80
CAMPO LARGO 03,CAMPO LARGO,-25.4,-49.5,221,4.5192036612234565,40
CAMPO LARGO 04,CAMPO LARGO,-25.4,-49.4,397,8.173118230022503,20
CAMPO MOURAO 01,CAMPO MOURAO,-24.2,-52.5,10,0.2061508725186777,160
CAMPO MOURAO 02,CAMPO MOURAO,-24.1,-52.5,24,0.5453672462168103,160
CAMPO MOURAO 03,CAMPO MOURAO,-24.1,-52.4,106,2.1778239791688727,80
CAMPO MOURAO 04,CAMPO MOURAO,-24.1,-52.3,6,0.1235231974310705,160
CAMPO MOURAO 05,CAMPO MOURAO,-24.0,-52.5,16,0.3364499056305995,160
CAMPO MOURAO 06,CAMPO MOURAO,-24.0,-52.4,90,1.8528479614660585,80
CAMPO MOURAO 07,CAMPO MOURAO,-24.0,-52.3,9,0.1920392551545612,160
CANDOI 01,CANDOI,-25.7,-52.2,13,0.2663723929702499,160
CANDOI 02,CANDOI,-25.7,-52.1,28,0.6255207236665552,160
CANDOI 03,CANDOI,-25.6,-52.1,24,0.5015562380621543,160
CANDOI 04,CANDOI,-25.6,-52.0,10,0.2227462940796295,160
CANDOI 05,CANDOI,-25.5,-52.0,32,0.6592362871679374,160
CANDOI 06,CANDOI,-25.5,-51.9,5,0.1450152730720463,160
CANDOI 07,CANDOI,-25.4,-52.0,35,0.7171564426122113,160
CANDOI 08,CANDOI,-25.4,-51.9,25,0.5300977620489232,160
CANDOI 09,CANDOI,-25.4,-51.8,31,0.6465117753037452,160
CANTAGALO 01,CANTAGALO,-25.4,-52.1,78,1.593942173615112,80
CAPANEMA 01,CAPANEMA,-25.6,-53.8,32,0.6605776188282052,160
CAPANEMA 02,CAPANEMA,-25.6,-53.7,10,0.2189015233071979,160
CAPITAO LEONIDAS MARQUES 01,CAPITAO LEONIDAS MARQUES,-25.5,-53.6,58,1.1916395357716474,80
CASCAVEL 01,CASCAVEL,-25.1,-53.2,20,0.4228997537665554,160
CASCAVEL 02,CASCAVEL,-25.0,-53.6,170,3.5188649291728358,40
CASCAVEL 03,CASCAVEL,-25.0,-53.5,398,8.127735198446429,20
CASCAVEL 04,CASCAVEL,-25.0,-53.4,414,8.460154613803287,20
CASCAVEL 05,CASCAVEL,-25.0,-53.3,59,1.2089208604034418,80
CASCAVEL 06,CASCAVEL,-25.0,-53.2,1,0.021458039858136,160
CASCAVEL 07,CASCAVEL,-24.9,-53.6,97,1.980880186556039,80
CASCAVEL 08,CASCAVEL,-24.9,-53.5,133,2.717875757574486,80
CASCAVEL 09,CASCAVEL,-24.9,-53.4,65,1.33096595507966,80
CASCAVEL 10,CASCAVEL,-24.9,-53.3,19,0.416512003831647,160
CASCAVEL 11,CASCAVEL,-24.8,-53.6,42,0.9025102159953298,160
CATANDUVAS 01,CATANDUVAS,-25.2,-53.2,3,0.0644650154282378,160
CATANDUVAS 02,CATANDUVAS,-25.1,-53.1,25,0.6051372360143328,160
CEU AZUL 01,CEU AZUL,-25.2,-53.8,13,0.3102304651494414,160
CEU AZUL 02,CEU AZUL,-25.1,-53.8,75,1.532636705399146,80
CEU AZUL 03,CEU AZUL,-25.1,-53.7,42,0.8807470528127516,160
CHOPINZINHO 01,CHOPINZINHO,-25.9,-52.4,23,0.4741470067929589,160
CHOPINZINHO 02,CHOPINZINHO,-25.9,-52.3,1,0.0235317823299262,160
CHOPINZINHO 03,CHOPINZINHO,-25.8,-52.3,18,0.37107157053362,160
COLOMBO 01,COLOMBO,-25.3,-49.2,161,3.303367307085446,40
COLOMBO 02,COLOMBO,-25.3,-49.1,44,0.903392598082802,160
CONSELHEIRO MAIRINCK 01,CONSELHEIRO MAIRINCK,-23.6,-50.2,7,0.1584738777713159,160
CONSELHEIRO MAIRINCK 02,CONSELHEIRO MAIRINCK,-23.6,-50.1,14,0.2899860873574443,160
CONSELHEIRO MAIRINCK 03,CONSELHEIRO MAIRINCK,-23.5,-50.1,20,0.4397004377682442,160
CONTENDA 01,CONTENDA,-25.7,-49.6,62,1.3109892366763218,80
CONTENDA 02,CONTENDA,-25.7,-49.5,73,1.4978000833368794,80
CORBELIA 01,CORBELIA,-24.8,-53.3,69,1.4282451771348563,80
CORBELIA 02,CORBELIA,-24.7,-53.3,9,0.186292849191503,160
CORBELIA 03,CORBELIA,-24.7,-53.2,33,0.7026661285759821,160
CORBELIA 04,CORBELIA,-24.6,-53.2,28,0.6020985570267837,160
CORNELIO PROCOPIO 01,CORNELIO PROCOPIO,-23.2,-50.7,102,2.085786305180057,80
CORNELIO PROCOPIO 02,CORNELIO PROCOPIO,-23.2,-50.6,78,1.61015794589375,80
CORONEL VIVIDA 01,CORONEL VIVIDA,-26.0,-52.6,89,1.8434829839151816,80
CORONEL VIVIDA 02,CORONEL VIVIDA,-26.0,-52.5,24,0.520126616584316,160
CORONEL VIVIDA 03,CORONEL VIVIDA,-26.0,-52.4,5,0.1506124516684923,160
CRUZEIRO DO OESTE 01,CRUZEIRO DO OESTE,-23.8,-53.0,6,0.1340401550714046,160
CURITIBA 01,CURITIBA,-25.6,-49.3,898,18.36309903972246,10
CURITIBA 02,CURITIBA,-25.5,-49.4,139,2.9269528805953566,40
CURITIBA 03,CURITIBA,-25.5,-49.3,1637,33.42990582878594,5
CURITIBA 04,CURITIBA,-25.4,-49.3,315,6.43275524500157,20
CURITIBA 05,CURITIBA,-25.4,-49.2,1138,23.255207609923044,5
FAROL 01,FAROL,-24.1,-52.7,8,0.1741194074276681,160
FAROL 02,FAROL,-24.1,-52.6,17,0.3681608788014758,160
FAZENDA RIO GRANDE 01,FAZENDA RIO GRANDE,-25.7,-49.3,128,2.6262795981797336,80
FERNANDES PINHEIRO 01,FERNANDES PINHEIRO,-25.5,-50.5,35,0.7334505501314815,160
FLOR DA SERRA DO SUL 01,FLOR DA SERRA DO SUL,-26.3,-53.4,1,0.0470840636991817,160
FLOR DA SERRA DO SUL 02,FLOR DA SERRA DO SUL,-26.3,-53.3,14,0.319083782975515,160
FLOR DA SERRA DO SUL 03,FLOR DA SERRA DO SUL,-26.2,-53.3,6,0.1281159854939209,160
FOZ DO IGUACU 01,FOZ DO IGUACU,-25.6,-54.6,33,0.6886941027187069,160
FOZ DO IGUACU 02,FOZ DO IGUACU,-25.6,-54.5,137,2.8033807317033204,80
FOZ DO IGUACU 03,FOZ DO IGUACU,-25.5,-54.6,468,9.563653041690673,20
FOZ DO IGUACU 04,FOZ DO IGUACU,-25.5,-54.5,423,8.638271329002109,20
FRANCISCO ALVES 01,FRANCISCO ALVES,-24.1,-53.9,11,0.2375456687267388,160
FRANCISCO ALVES 02,FRANCISCO ALVES,-24.1,-53.8,7,0.1764548767818607,160
GENERAL CARNEIRO 01,GENERAL CARNEIRO,-26.6,-51.5,5,0.1429717238986107,160
GENERAL CARNEIRO 02,GENERAL CARNEIRO,-26.6,-51.4,8,0.2309242077672975,160
GENERAL CARNEIRO 03,GENERAL CARNEIRO,-26.5,-51.4,11,0.2951293565805502,160
GENERAL CARNEIRO 04,GENERAL CARNEIRO,-26.5,-51.3,8,0.2287547582377771,160
GENERAL CARNEIRO 05,GENERAL CARNEIRO,-26.4,-51.3,45,1.142871521706139,80
GOIOERE 01,GOIOERE,-24.2,-53.0,22,0.4504807847961926,160
GOIOERE 02,GOIOERE,-24.2,-52.9,7,0.1999725464730137,160
GOIOERE 03,GOIOERE,-24.1,-52.9,6,0.1308703054016685,160
GUAIRA 01,GUAIRA,-24.3,-54.2,21,0.4297152946406549,160
GUAIRA 02,GUAIRA,-24.2,-54.3,2,0.0660639395400797,160
GUAIRA 03,GUAIRA,-24.2,-54.2,21,0.4600240475120541,160
GUAIRA 04,GUAIRA,-24.1,-54.3,14,0.3086821699108841,160
GUAIRA 05,GUAIRA,-24.1,-54.2,48,0.9822063877500684,160
GUAIRACA 01,GUAIRACA,-23.0,-52.8,1,0.0469388404229787,160
GUAIRACA 02,GUAIRACA,-23.0,-52.7,25,0.517480136643064,160
GUAIRACA 03,GUAIRACA,-22.9,-52.8,9,0.1897775231771046,160
GUAIRACA 04,GUAIRACA,-22.9,-52.7,10,0.2092691372391118,160
GUAMIRANGA 01,GUAMIRANGA,-25.2,-50.8,40,0.8440404021146506,160
GUAPIRAMA 01,GUAPIRAMA,-23.5,-50.0,1,0.0246964981472174,160
GUARANIACU 01,GUARANIACU,-25.2,-52.7,20,0.4243738505397806,160
GUARANIACU 02,GUARANIACU,-25.1,-52.9,77,1.593838820860637,80
GUARANIACU 03,GUARANIACU,-25.1,-52.8,28,0.5718004662223618,160
GUARANIACU 04,GUARANIACU,-25.1,-52.7,35,0.7249652183936108,160
GUARAPUAVA 01,GUARAPUAVA,-25.6,-51.5,1,0.0238826069749433,160
GUARAPUAVA 02,GUARAPUAVA,-25.4,-51.7,43,0.8931026967640623,160
GUARAPUAVA 03,GUARAPUAVA,-25.4,-51.6,56,1.2153595148444738,80
GUARAPUAVA 04,GUARAPUAVA,-25.4,-51.5,186,3.8009390293898826,40
GUARAPUAVA 05,GUARAPUAVA,-25.4,-51.4,24,0.5019008467818297,160
GUARAPUAVA 06,GUARAPUAVA,-25.4,-51.3,63,1.2926219897290876,80
GUARAPUAVA 07,GUARAPUAVA,-25.4,-51.2,13,0.270007792044949,160
GUARAPUAVA 08,GUARAPUAVA,-25.3,-51.5,1,0.0550956613821262,160
GUARAPUAVA 09,GUARAPUAVA,-25.3,-51.4,91,1.86964134060724,80
GUARAPUAVA 10,GUARAPUAVA,-25.3,-51.2,68,1.38865827511145,80
GUARATUBA 01,GUARATUBA,-26.0,-48.9,33,0.6882222124201158,160
GUARATUBA 02,GUARATUBA,-25.9,-49.0,270,5.513790210001346,20
GUARATUBA 03,GUARATUBA,-25.9,-48.9,373,7.617199067890748,20
GUARATUBA 04,GUARATUBA,-25.9,-48.6,47,1.1017348263464868,80
IBAITI 01,IBAITI,-23.9,-50.2,53,1.1301055782239056,80
IBAITI 02,IBAITI,-23.8,-50.2,67,1.3765491189086272,80
IBEMA 01,IBEMA,-25.1,-53.0,65,1.3611852767943569,80
IBIPORA 01,IBIPORA,-23.3,-51.0,158,3.28387404885581,40
IMBAU 01,IMBAU,-24.5,-50.8,13,0.2793484001890306,160
IMBAU 02,IMBAU,-24.5,-50.7,52,1.0669260867605168,80
IMBAU 03,IMBAU,-24.4,-50.8,56,1.1528831760233251,80
IMBITUVA 01,IMBITUVA,-25.3,-50.6,28,0.6020985570267837,160
IMBITUVA 02,IMBITUVA,-25.2,-50.7,56,1.1662939598400377,80
IMBITUVA 03,IMBITUVA,-25.2,-50.6,54,1.1308308453368503,80
IMBITUVA 04,IMBITUVA,-25.2,-50.5,13,0.2726121830134707,160
IPIRANGA 01,IPIRANGA,-25.1,-50.5,7,0.1457867449800047,160
IPIRANGA 02,IPIRANGA,-25.1,-50.4,41,0.8730094324731899,160
IPIRANGA 03,IPIRANGA,-25.0,-50.6,5,0.1105640060682041,160
IRATI 01,IRATI,-25.5,-50.7,75,1.539873746732049,80
IRATI 02,IRATI,-25.5,-50.6,164,3.353617196564013,40
IRATI 03,IRATI,-25.4,-50.8,28,0.5725687896572705,160
IRATI 04,IRATI,-25.4,-50.7,19,0.389051586869439,160
IRATI 05,IRATI,-25.4,-50.6,21,0.4358690004982314,160
IRETAMA 01,IRETAMA,-24.3,-52.1,4,0.0861967725106299,160
JACAREZINHO 01,JACAREZINHO,-23.2,-50.0,128,2.6192170340001826,80
JACAREZINHO 02,JACAREZINHO,-23.1,-50.0,4,0.0929060394458145,160
JACAREZINHO 03,JACAREZINHO,-23.1,-49.9,35,0.7977094574387876,160
JACAREZINHO 04,JACAREZINHO,-23.0,-49.9,20,0.4194033584822626,160
JANDAIA DO SUL 01,JANDAIA DO SUL,-23.7,-51.7,22,0.4513918059371417,160
JANDAIA DO SUL 02,JANDAIA DO SUL,-23.7,-51.6,1,0.0276840587141485,160
